,user,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
,cb878053,1,1,1,1,1,1,1,1,1,1
,6d264799,1,1,1,1,1,1,1,1,1,1
,3f9e9ce0,1,1,1,1,1,1,1,1,1,1
,3fb27b90,1,1,1,1,1,1,1,1,1,1
,a992ae90,1,1,1,1,1,1,1,1,1,1
,e1c0ba09,1,1,1,1,1,1,1,1,1,1
,05243e3b,1,1,1,1,1,1,1,1,1,1
,e1f52e73,1,1,1,1,1,1,1,1,1,1
,9956dd07,1,1,1,1,1,1,1,1,1,1
,19946437,1,1,1,1,1,1,1,1,1,1
,bfdf7bbb,1,1,1,1,1,1,1,1,1,1
,8a40c66c,1,1,1,1,1,1,1,1,1,1
,f989a28e,1,1,1,1,1,1,1,1,1,1
,c0bd84f6,1,1,1,1,1,1,1,1,1,1
,e446a89b,1,1,1,1,1,1,1,1,1,1
,a01d6f55,1,1,1,1,1,1,1,1,1,1
,3b3d5019,1,1,1,1,1,1,1,1,1,1
,cca4231d,1,1,1,1,1,1,1,1,1,1
,070df7f4,1,1,1,1,1,1,1,1,1,1
,71c915bd,1,1,1,1,1,1,1,1,1,1
,Dc04f5b0,1,1,1,1,1,1,1,1,1,1
,4ac442d2,1,1,1,1,1,1,1,1,1,1
,8cd04741,1,1,1,1,1,1,1,1,1,1
,78be9397,1,1,1,1,1,1,1,1,1,1
,fe744e24,1,1,1,1,1,1,1,1,1,1
,e6f5023a,1,1,1,1,1,1,1,1,1,1
,54206977,1,1,1,1,1,1,1,1,1,1
,2a108477,1,1,1,1,1,1,1,1,1,1
,9838815b,1,1,1,1,1,1,1,1,1,1
,11dfdbb3,1,1,1,1,1,1,1,1,1,1
,76c4d15d,1,1,1,1,1,1,1,1,1,1
,d7fbde27,1,1,1,1,1,1,1,1,1,1
,8e02967a,1,1,1,1,1,1,1,1,1,1
,ba3dfbf2,1,1,1,1,1,1,1,1,1,1
,2b8b7909,1,1,1,1,1,1,1,1,1,1
,2b1c5244,1,1,1,1,1,1,1,1,1,1
,3cfce9aa,1,1,1,1,1,1,1,1,1,1
,10511663,1,1,1,1,1,1,1,1,1,1
,9cda567b,1,1,1,1,1,1,1,1,1,1
,2b23e54c,1,1,1,1,1,1,1,1,1,1
,Ddd48809,1,1,1,1,1,1,1,1,1,1
,546f901c,1,1,1,1,1,1,1,1,1,1
,5b51464c,1,1,1,1,1,1,1,1,1,1
,edab1fc6,1,1,1,1,1,1,1,1,1,1
,f1e41741,1,1,1,1,1,1,1,1,1,1
,8951a80c,1,1,1,1,1,1,1,1,1,1
,Dea5d653,1,1,1,1,1,1,1,1,1,1
,b4d671d5,1,1,1,1,1,1,1,1,1,1
,7016c296,1,1,1,1,1,1,1,1,1,1
,c96276b2,1,1,1,1,1,1,1,1,1,1
,79142572,1,1,1,1,1,1,1,1,1,1
,959e5017,1,1,1,1,1,1,1,1,1,1
,b42381e0,1,1,1,1,1,1,1,1,1,1
,c0a1f0dd,1,1,1,1,1,1,1,1,1,1
,D24d9820,1,1,1,1,1,1,1,1,1,1
,53b06f5b,1,1,1,1,1,1,1,1,1,1
,cab8abb7,1,1,1,1,1,1,1,1,1,1
,f701a7fe,1,1,1,1,1,1,1,1,1,1
,f46349c6,1,1,1,1,1,1,1,1,1,1
,7dd3daad,1,1,1,1,1,1,1,1,1,1
,554cb917,1,1,1,1,1,1,1,1,1,1
,843a1a4d,1,1,1,1,1,1,1,1,1,1
,87091541,1,1,1,1,1,1,1,1,1,1
,12c0b574,1,1,1,1,1,1,1,1,1,1
,fdf82c6e,1,1,1,1,1,1,1,1,1,1
,c61439fa,1,1,1,1,1,1,1,1,1,1
,59f64c05,1,1,1,1,1,1,1,1,1,1
,9c221b26,1,1,1,1,1,1,1,1,1,1
,d842ce52,1,1,1,1,1,1,1,1,1,1
,30c83787,1,1,1,1,1,1,1,1,1,1
,22769dff,1,1,1,1,1,1,1,1,1,1
,c15eedb6,1,1,1,1,1,1,1,1,1,1
,1bc931f0,1,1,1,1,1,1,1,1,1,1
,dbecd1ed,1,1,1,1,1,1,1,1,1,1
,1db6130c,1,1,1,1,1,1,1,1,1,1
,Dfaa3072,1,1,1,1,1,1,1,1,1,1
,D8d734fb,1,1,1,1,1,1,1,1,1,1
,04758411,1,1,1,1,1,1,1,1,1,1
,D0a22723,1,1,1,1,1,1,1,1,1,1
,170d9ee3,1,1,1,1,1,1,1,1,1,1
,47a8a2d2,1,1,1,1,1,1,1,1,1,1
,baf36101,1,1,1,1,1,1,1,1,1,1
,528c94f4,1,1,1,1,1,1,1,1,1,1
,f92bae9f,1,1,1,1,1,1,1,1,1,1
,56def36b,1,1,1,1,1,1,1,1,1,1
,febe6e98,1,1,1,1,1,1,1,1,1,1
,ef38baae,1,1,1,1,1,1,1,1,1,1
,43d6a006,1,1,1,1,1,1,1,1,1,1
,1129e2d7,1,1,1,1,1,1,1,1,1,1
,8586d85a,1,1,1,1,1,1,1,1,1,1
,96f07fe7,1,1,1,1,1,1,1,1,1,1
,458db544,1,1,1,1,1,1,1,1,1,1
,618443e3,1,1,1,1,1,1,1,1,1,1
,5f4152a5,1,1,1,1,1,1,1,1,1,1
,ead38137,1,1,1,1,1,1,1,1,1,1
,b697a2dd,1,1,1,1,1,1,1,1,1,1
,18623dc2,1,1,1,1,1,1,1,1,1,1
,16fc1a1c,1,1,1,1,1,1,1,1,1,1
